category	surname	firstname	title	year	publisher	city	site
							
Pāḷi Dictionaries	Buddhadatta	Ven. A.P.	Concise Pāli-English Dictionary (Second Edition)	1958	Buddhist Cultural Centre	Dehiwala	
	Cone	Margaret	A Dictionary of Pāli Part I a-kh	2001	Pāli Text Society	Oxford	
	Cone	Margaret	A Dictionary of Pāli Part II g-n	2010	Pāli Text Society	Oxford	
	Cone	Margaret	A Dictionary of Pāli Part III p-bh	2020	Pāli Text Society	Oxford	
	Rhys Davids	T. W. & Stede,William (editors)	Pali-English Dictionary	1921-1925	Pāli Text Society	Chipstead	
	Trenckner	V, et al.	A Critical Pāli Dictionary	1925 -2010	The Royal Danish Academy	Copenhagen	https://cpd.uni-koeln.de/
							
							
							
Sanskrit Dictionaries	Apte	V. S.	The Practical Sanskrit-English Dictionary	1890	Shiralkar & Co	Poona	www.sanskrit-lexicon.uni-koeln.de
	Edgerton	Franklin	Buddhist Hybrid Sanskrit Grammar And Dictionary Vol. II: Dictionary	1953	Motilal Banarsidass Publishers	Delhi	www.sanskrit-lexicon.uni-koeln.de
	Monier-Williams	Sir Monier	A Sanskrit-English Dictionary: Etymologically and Philologically Arranged with Special Reference to Cognate Indo-European languages	1899	Clarendon Press	Oxford	www.sanskrit-lexicon.uni-koeln.de
							
							
Classical Pāḷi Grammars	Kaccāyanabyākaraṇaṃ						
	Padarūpasiddhi						
	Saddanītippakaraṇaṃ Dhātumālā						
	Saddanītippakaraṇaṃ Padamālā						
	Saddanītippakaraṇaṃ Suttamālā						
	Vuttodayaṃ						
							
							
Modern Pāḷi Grammars (incomplete)	Andersen	Dines & Smith, Helmer	The Pali Dhatupatha and the Dhatumajusa: Edited with Indexes	1921	Anderson, Fred, Host & Son	Copenhagen	https://archive.org/details/palidhatupathadh00andeuoft
	Buddhadatta	Ven. A.P.	The New Pali Course Parts 1 & 2 (Sixth Edition)	2020	Buddhist Cultural Centre	Dehiwala	
	Buddhadatta	Ven. A.P.	The New Pali Course Parts 3	2020	Buddhist Cultural Centre	Dehiwala	
	Duroiselle	Charles	A Practical Grammar of the Pali Language (Fourth Edition)	2007			https://palistudies.blogspot.com/p/a-practical-grammar-of-pali-language.html
	Geiger	Wilhelm	A Pāli Grammar	2005	Pāli Text Society	Oxford	
	Oberlies	Thomas 	Pali:A Grammar of the Language of the Theravada Tipitaka, With a Concordance to Pischel's Grammatik der Prakrit-Sprachen	2001	Walter de Gruyter	Berlin	
	Perniola	V.	Pali Grammar	1997	Pāli Text Society	Oxford	
	Silananda	Sayadaw U & Nandisena, U (Editor)	"Pali Roots in Saddanīti Dhātu-Mālā compared with Pāṇinīya-Dhātupāṭha
"	2002			
							
English Translations (incomplete)							
							
	Bodhi	Bhikkhu	The Connected Discourses of the Buddha: A Translation of the Saṃyutta Nikāya	2000	Wisdom Publications	Boston	
	Bodhi	Bhikkhu	The Numerical Discourses of the Buddha: A Translation of the Aṅguttara Nikāya	2012	Wisdom Publications	Boston	
	Bodhi	Bhikkhu	The Sutta Nipata: An Ancient Collection of the Buddha's Discourses Togther with its Commentaries	2017	Wisdom Publications	Boston	
	Ñāṇadīpa	Bhikkhu	The Silent Sages of Old: Suttas from the Suttanipata	2018	Path Press Publications		https://pathpress.files.wordpress.com/2018/02/the_silent_sages_of_old_suttanipata_ppp.pdf
	Nāṇamoli	Bhikkhu, & Bodhi, Bhikkhu	The Middle Length Discourses of the Buddha: A Translation of the Majjhima Nikāya (Third Edition)	2005	Wisdom Publications	Boston	
	Sujato	Bhikkhu	Dīghanikāya: Long Discourses	2018	Sutta Central		https://suttacentral.net/
	Sujato	Bhikkhu	Majjhimanikāya: Middle Discourses	2018	Sutta Central		https://suttacentral.net/
	Sujato	Bhikkhu	Saṃyuttanikāya: Linked Discourses	2018	Sutta Central		https://suttacentral.net/
	Sujato	Bhikkhu	Aṅguttaranikāya: Numbered Discourses	2018	Sutta Central		https://suttacentral.net/
	Sujato	Bhikkhu, & Walton, Jessica	Theragāthā: Verses of the Senior Monks (Revised Edition)	2019	Sutta Central		https://suttacentral.net/
	Sujato	Bhikkhu, & Walton, Jessica	Therīgāthā: Verses of the Senior Nuns	2019	Sutta Central		https://suttacentral.net/
	Thanissaro	Bhikkhu	Handful of Leaves: An Anthology from the Sutta Piṭaka (Revised Edition)	2017	Metta Forest Monastery		https://www.dhammatalks.org/suttas/index.html
	Walshe	Maurice	The Long Discourses of the Buddha: A Translation of the Dīgha Nikāya	1986	Wisdom Publications	Boston	
							
Academic Papers (incomplete)	Deokar	Mahesh A.	Technical Terms And Technique Of The Pali And The Sanskrit Grammars	2008	Central Institute of Higher Tibetan Studies	Sarnath, Varanasi	
							
	Deokar	Mahesh A.	Some Probable Sanskrit Sources of the Pali Grammarians With Special Reference to Aggavamsa	2012	DK Printworld	New Delhi	
	Pandita	Ven.	"Pali Adjectives: When Progress Hurts
"	2015	Unpublished		
	Pind	Ole Holten	Pāli and the Pāli Garmmarians: The Method of the Pāli Grammarians	1995	Association of Oriental Studies	Stockholm	
							
	Wijesekera	O.H. De A. 	Syntax of the Cases in the Pali Nikayas	1993	The Postgraduate Institute of Pali and Buddhist Studies, University of Kelaniya	Kelaniya	https://www.ancient-buddhist-texts.net/Textual-Studies/Syntax-of-the-Cases/index.htm
							
							
Open Source Software	Anki						https://apps.ankiweb.net/
	Beautiful Soup						https://pypi.org/project/beautifulsoup4
	Libre Office						https://www.libreoffice.org/
	Linux Mint						https://linuxmint.com/
	Natural Language Toolkit						https://www.nltk.org/
	Pandas						https://pandas.pydata.org/
	Python						https://www.python.org/
	SQLite						https://www.sqlite.org/index.html
	Tipiṭaka Pāḷi Projector						https://github.com/bksubhuti/Tipitaka-Pali-Projector
	Tipitaka Pali Reader						https://github.com/bksubhuti/tipitaka-pali-reader/releases/
	Visual Studio Code						https://code.visualstudio.com/
							
Websites							
	Digital Pāli Reader						https://www.digitalpalireader.online/
	Github						https://github.com/
	Sanskrit Grammarian						https://sanskrit.inria.fr/DICO/grammar.fr.html
	Sutta Central						https://suttacentral.net/
	The Buddha's Words						https://thebuddhaswords.net/home/index.html
	Wikipedia						https://en.wikipedia.org/wiki/Main_Page
