category	who	where	what
DPD Thanks			Thank you, appreciation and <i>anumodana</i> to the following people who have contributed to this project with their time, expertise and with material support. <i>parapaṭibaddhā me jīvikā'ti pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.</i>
	Ven. Sumedhāloka	in Sri Lanka	for sparking my interest in Pāḷi studies
	Ven. Ariyananda	in Sri Lanka	for a powerful laptop
	Ven. Devamitta	in Malaysia	for thousands of small corrections and suggestions for improvement
	Ven. Gambhīro	in Portugal	for the technical expertise, and the GoldenDict exporter that started this whole chain of events
	Ven. Dhammañāṇa	in Vietnam	for help with the MDict exporter
	Ven. Kusalacitto	in Thailand	for help with the MDict exporter
	Prof. Bryan Levman, 	in Canada	for detailed grammatical analysis of Dīgha Nikāya and Theragāthā
	Prof. Aleix Ruiz Falqués	in Spain	for internet classes on the classical Pāḷi grammars
	Sumukha	in India	for the Python technical support helpline 
	Inka Kendzia	in South Africa	for paying the internet bill
	Max	in Massachusetts	for paying the internet bill and pertinent questions
	Son Tu	in California	for detailed grammatical feedback
	Everyone	around the world	"who has made suggestions through the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf9boBe7k5tCwq7LdWgBHHGIPVc4ROO5yjVDo1X5LDAxkmGWQ/viewform"">feedback form</a>"
	Anyone		who I have erroneously forgotten to thank 
Monasteries			Thank you to all the monasteries and their supporters which have sustained my livelihood during the course of this work.
	Na Uyana Dharmayatana	in Melsiripura, Sri Lanka	
	Hindagala Meditation Centre	in Kandy, Sri Lanka 	
	Sri Sumedha Meditation Center	in Gomara, Sri Lanka	
	University Viharaya	in Peradeniya, Sri Lanka	
	Ulpathkanda Buddhist Monastery	in Kandy, Sri Lanka	
	Navimana Forest Meditation Centre	in Warakapola, Sri Lanka	
	Sri Pada Aranya Senasanaya	in Pelmadulla, Sri Lanka	
	Seela Samahitha Yogasramaya	in Belihuloya, Sri Lanka	
	Kahagolla Aranya Senasanaya	in Diyatalawa, Sri Lanka	
	Sri Sambodhi Viwekashramaya, Galkanda	in Diyathalawa, Sri Lanka	
	Bhaddekavihari Upasthana Kutiya	in Tanjan Tenna, Sri Lanka	
	The Mountain Hermitage, Wikiliya Ārāmaya	in Wikiliya, Sri Lanka	
	Pasgama Mountain Kuṭi	in Pasgama, Sri Lanka	
